Year,Company Name,Country,Industry Exiobase,% Total Environmental Intensity -Revenue,% Total Environmental Intensity -Operating Income,Working Capacity,Fish Production Capacity,Crop Production Capacity,Meat Production Capacity,Biodiversity,Abiotic Resources,Water production capacity Drinking water & Irrigation Water,Wood Production Capacity,% Imputed,Total Environmental Cost
2014,SHUI ON LAND LIMITED,China,Real estate activities 70,-1.66,-7.68,26775286,-6373,352951,"-82,596","-1,127","-6,822",145239,328,1,27370066
2013,KYUSHU ELECTRIC POWER CO INC,Japan,Production of electricity nec,-97.81,0,14077733802,3698208,184963697,43409971,624033,1354625,76328004,943025,2,14387169314
2013,SHANGRI-LA ASIA LIMITED,Hong Kong,Other service activities 93,-1.74,-17.67,274131893,-64187,3636021,845358,"-11,481","-53,717",1486489,"2,791",0,280226357
2015,ABB LIMITED,Switzerland,Manufacture of radiotelevision and communication equipment and apparatus 32,-1.35,-14.55,450253062,105574,6013255,1399122,"-18,958","-9,799",5310849,"6,882",2,463103738
2012,SALESFORCE.COMINC.,United States,Computer and related activities 72,-0.24,0,7246369,-2079,"-95,948","-22,220",-349,"-3,318","-39,062","1,322",11,7408024
2010,VEOLIA ENVIRONNEMENT SA,France,Production of electricity nec,-31.35,-676.92,13812308010,3158681,183699534,43067651,574883,-  ,425456220,0,0,14468264979
2017,GREENE KING PLC,United Kingdom,Other service activities 93,-2.66,-14.31,77668204,-17979,1032836,242129,"-3,251","-3,199",704526,454,0,79671670
2017,CEZ A.S,Czech Republic,Production of electricity nec,-93.64,-859.73,8553965429,1958806,113737400,26663625,357855,151838,47138478,"7,598",0,8743965834
2017,LOTTE CHILSUNG BEVERAGE CO.LTD.,South Korea,Manufacture of beverages,-2.1,-63.43,43641102,-12005,569257,132953,"-2,014","-28,491",361428,"5,313",9,44741938
2013,TAISEI CORPORATION,Japan,Construction 45,-0.21,-8.32,27367190,-16140,393707,"-91,709","-2,224","-4,144",346397,"28,278",1,28193233
2018,CITYCON OYJ,Finland,Real estate activities 70,-4.67,-11.27,16279154,-3782,214685,"-50,296",-681,"-6,982",356500,93,0,16911986
2013,EMMI AG,Switzerland,Processing of Food products nec,-0.27,-5.62,8956754,-2849,120290,"-28,025",-447,"-3,442",1029177,"1,906",15,10139078
2010,TOKAI RIKA CO. LTD.,Japan,Manufacture of machinery and equipment n.e.c. 29,-0.61,-11.23,21103697,-5181,281840,"-65,587",-910,"-2,442",3521778,865,10,24980571
2014,SANLAM LIMITED,South Africa,Insurance and pension fundingexcept compulsory social security 66,-0.17,-1.29,12920692,-2912,168420,"-38,991",-528,"-25,524",746529,-126,5,13903721
2013,WAL-MART DE MEXICO S.A.B. DE C.V.,Mexico,Retail tradeexcept of motor vehicles and motorcycles; repair of personal and household goods 52,-1.28,-17.24,403430854,144342,5556172,1295104,"-22,663","-1,779",4706950,154290,1,415003573
2011,INNOLUX CORP,Taiwan,Manufacture of electrical machinery and apparatus n.e.c. 31,-7.12,0,1148001832,262850,15196237,3561117,"-47,646","-51,532",31057570,"-3,115",1,1198181900
2012,MITIE GROUP PLC,United Kingdom,Real estate activities 70,-0.45,-8.67,14252503,-3358,189805,"-44,487",-604,"-1,309","-88,393",286,2,14580173
2010,SUZUKI MOTOR CORPORATION,Japan,Manufacture of motor vehiclestrailers and semi-trailers 34,-0.21,-6.64,63340391,-19583,869742,170020,"-3,209","-43,943",586146,"20,802",10,65012232
2014,NOBLE ENERGYINC.,United States,Extraction of crude petroleum and services related to crude oil extractionexcluding surveying,-14.53,-61,700796273,176187,9478376,2157292,"-31,149",344569,3793299,"63,461",2,716713684
2015,STARBUCKS CORPORATION,United States,Other service activities 93,-2.2,-12.58,412309221,-96059,5471327,1276570,"-17,329","-18,150",2244693,"5,572",1,421427776
2014,REPUBLIC SERVICESINC.,United States,Real estate activities 70,-55.29,-364.56,4753905031,1087841,63203284,14817433,197911,"-7,030",26055501,"1,478",0,4859272553
2014,RENISHAW PLC,United Kingdom,Manufacture of medicalprecision and optical instrumentswatches and clocks 33,-1.21,-6.1,6000066,-1573,"-78,992","-18,465",-269,"-11,605",581153,538,1,6691586
2018,PLEXUS CORPORATION,United States,Manufacture of office machinery and computers 30,-1.04,-25.31,27917748,-7523,369860,"-85,486","-1,286","-10,553",1545176,"3,526",7,29934105
2013,ORIGIN ENERGY LIMITED,Australia,Extraction of crude petroleum and services related to crude oil extractionexcluding surveying,-36.38,-264.2,4594947301,1068615,65972183,13137195,187616,4357473,79190047,214867,13,4758645563
